Title,Issue_Title,Issue_URL
"Volume 39 Issue 2, June 2024","Digital sourcing: A discussion of agential, semiotic, infrastructural, combinatorial, and economic shifts",https://journals.sagepub.com/doi/abs/10.1177/02683962241260841
"Volume 39 Issue 2, June 2024",Vendor capabilities development in blockchain sourcing: A parallel play approach,https://journals.sagepub.com/doi/abs/10.1177/02683962231226399
"Volume 39 Issue 2, June 2024",Procuring services through IT crowdsourcing: The role of IT administration and IT flexibility,https://journals.sagepub.com/doi/abs/10.1177/02683962231225469
"Volume 39 Issue 2, June 2024",Artificial Intelligence’s new clothes? A system technology perspective,https://journals.sagepub.com/doi/abs/10.1177/02683962231197824
"Volume 39 Issue 2, June 2024",Competing stakeholder narratives on crypto-assets: Miracle or mirage?,https://journals.sagepub.com/doi/abs/10.1177/02683962231202534
"Volume 39 Issue 2, June 2024",Acceptable nudge strategies to incentivize the use of wearables and physiolytics at work: A Q-methodology examination,https://journals.sagepub.com/doi/abs/10.1177/02683962231173706
"Volume 39 Issue 1, March 2024",Generating impactful situated explanations through digital trace data,https://journals.sagepub.com/doi/abs/10.1177/02683962231208724
"Volume 39 Issue 1, March 2024",The formal rationality of artificial intelligence-based algorithms and the problem of bias,https://journals.sagepub.com/doi/abs/10.1177/02683962231176842
"Volume 39 Issue 1, March 2024",Metacognitive skills in low-code app development: Work-integrated learning in information systems development,https://journals.sagepub.com/doi/abs/10.1177/02683962231170238
"Volume 39 Issue 1, March 2024","Distant but close: Locational, relational and temporal proximity in cloud computing adoption",https://journals.sagepub.com/doi/abs/10.1177/02683962231186161
"Volume 39 Issue 1, March 2024",Stairway to heaven or highway to hell: A model for assessing cognitive automation use cases,https://journals.sagepub.com/doi/abs/10.1177/02683962231185599
"Volume 39 Issue 1, March 2024",Did you get my Email?!—Leveraging boundary work tactics to safeguard connectivity boundaries,https://journals.sagepub.com/doi/abs/10.1177/02683962231175924
"Volume 39 Issue 1, March 2024",A framework to support Robotic process automation,https://journals.sagepub.com/doi/abs/10.1177/02683962231165066
"Volume 39 Issue 1, March 2024","The past, present, and future of (net) neutrality: A state of knowledge review and research agenda",https://journals.sagepub.com/doi/abs/10.1177/02683962231170891
"Volume 39 Issue 1, March 2024",The axis of accessibility and the duality of control of remote workers: A literature review,https://journals.sagepub.com/doi/abs/10.1177/02683962231208218
"Volume 38 Issue 4, December 2023",Products of theorizing—towards native theories of emerging information technologies,https://journals.sagepub.com/doi/abs/10.1177/02683962231217348
"Volume 38 Issue 4, December 2023",Identifying the idiosyncrasies of behavioral information security discourse and proposing future research directions: A Foucauldian perspective,https://journals.sagepub.com/doi/abs/10.1177/02683962231181146
"Volume 38 Issue 4, December 2023","When Harry, the human, met Sally, the software robot: Metaphorical sensemaking and sensegiving around an emergent digital technology",https://journals.sagepub.com/doi/abs/10.1177/02683962231157426
"Volume 38 Issue 4, December 2023",Toward a Theory of Identity Performance in Unsettled Digital Work: The Becoming of ‘Digital Nomads’,https://journals.sagepub.com/doi/abs/10.1177/02683962231196310
"Volume 38 Issue 4, December 2023",The aestheticization of business processes: Visualizing their Gestalt for collective thinking,https://journals.sagepub.com/doi/abs/10.1177/02683962231166438
"Volume 38 Issue 4, December 2023",Reconceptualizing users: The roles and activities of people as they engage with digital technologies,https://journals.sagepub.com/doi/abs/10.1177/02683962231183455
"Volume 38 Issue 3, September 2023",‘ChatGPT et al.’: The ethics of using (generative) artificial intelligence in research and science,https://journals.sagepub.com/doi/abs/10.1177/02683962231200411
"Volume 38 Issue 3, September 2023",What is the Metaverse and who seeks to define it? Mapping the site of social construction,https://journals.sagepub.com/doi/abs/10.1177/02683962231159927
"Volume 38 Issue 3, September 2023",From transformation to normalisation: An exploratory study of a large-scale agile transformation,https://journals.sagepub.com/doi/abs/10.1177/02683962231164428
"Volume 38 Issue 3, September 2023",Institutional pressures and RegTech challenges for banking: The case of money laundering and terrorist financing in Lebanon,https://journals.sagepub.com/doi/abs/10.1177/02683962231152968
"Volume 38 Issue 3, September 2023",Toward a taxonomy of corporate data protection malpractices and their causal mechanisms: A regulatory view,https://journals.sagepub.com/doi/abs/10.1177/02683962231155937
"Volume 38 Issue 3, September 2023","Tensions in transfer, translation, and transformation of information: A sociomaterial perspective on heterogeneous work arrangements",https://journals.sagepub.com/doi/abs/10.1177/02683962231164426
"Volume 38 Issue 3, September 2023",Leveraging paradigms to foster theoretical contributions in information systems research,https://journals.sagepub.com/doi/abs/10.1177/02683962231163603
"Volume 38 Issue 2, June 2023",The regulation of and through information technology: Towards a conceptual ontology for IS research,https://journals.sagepub.com/doi/abs/10.1177/02683962231181147
"Volume 38 Issue 2, June 2023","IT-based regulation of personal health: Nudging, mobile apps and data",https://journals.sagepub.com/doi/abs/10.1177/02683962221112678
"Volume 38 Issue 2, June 2023",Governmental regulation and digital infrastructure innovation: The mediating role of modular architecture,https://journals.sagepub.com/doi/abs/10.1177/02683962221114429
"Volume 38 Issue 2, June 2023","Big Tech’s power, political corporate social responsibility and regulation",https://journals.sagepub.com/doi/abs/10.1177/02683962221113596
"Volume 38 Issue 2, June 2023",To regulate or not to regulate: unravelling institutional tussles around the regulation of algorithmic control of digital platforms,https://journals.sagepub.com/doi/abs/10.1177/02683962221114408
"Volume 38 Issue 2, June 2023",Identifying the patterns: Towards a systematic approach to digital platform regulation,https://journals.sagepub.com/doi/abs/10.1177/02683962221146803
"Volume 38 Issue 2, June 2023",Regulation of data-driven market power in the digital economy: Business value creation and competitive advantages from big data,https://journals.sagepub.com/doi/abs/10.1177/02683962221114394
"Volume 38 Issue 1, March 2023",Rethinking online friction in the information society,https://journals.sagepub.com/doi/abs/10.1177/02683962211067812
"Volume 38 Issue 1, March 2023",Building data management capabilities to address data protection regulations: Learnings from EU-GDPR,https://journals.sagepub.com/doi/abs/10.1177/02683962221141456
"Volume 38 Issue 1, March 2023",The Pursuit of Innovative Theory in the Digital Age,https://journals.sagepub.com/doi/abs/10.1177/02683962221077112
"Volume 38 Issue 1, March 2023",Keeping pace with the digital age: Envisioning information systems research as a platform,https://journals.sagepub.com/doi/abs/10.1177/02683962221130429
"Volume 38 Issue 1, March 2023","On digital theorizing, clickbait research, and the cumulative tradition",https://journals.sagepub.com/doi/abs/10.1177/02683962231153940
"Volume 38 Issue 1, March 2023",Not only data: The necessity of abstract thinking to make sense of digital phenomena,https://journals.sagepub.com/doi/abs/10.1177/02683962231156622
"Volume 38 Issue 1, March 2023",Innovative theory in the digital age: Clarifying our positions,https://journals.sagepub.com/doi/abs/10.1177/02683962221126729
"Volume 37 Issue 4, December 2022",Blockchain: From Bitcoin to the Internet of Value and beyond,https://journals.sagepub.com/doi/abs/10.1177/02683962221086300
"Volume 37 Issue 4, December 2022",Digitalization of multisensory collective activity: The case of virtual wine tasting,https://journals.sagepub.com/doi/abs/10.1177/02683962221096860
"Volume 37 Issue 4, December 2022",Orchestrating a digital platform ecosystem to address societal challenges: A robust action perspective,https://journals.sagepub.com/doi/abs/10.1177/02683962221088333
"Volume 37 Issue 4, December 2022",Information systems as a nexus of information technology systems: A new view of information systems practice,https://journals.sagepub.com/doi/abs/10.1177/02683962221108757
"Volume 37 Issue 4, December 2022",Interoperability in the era of digital innovation: An information systems research agenda,https://journals.sagepub.com/doi/abs/10.1177/02683962211064304
"Volume 37 Issue 3, September 2022","Digital assemblages, information infrastructures, and mobile knowledge work",https://journals.sagepub.com/doi/abs/10.1177/02683962211050943
"Volume 37 Issue 3, September 2022",Steps toward a digital ecology: ecological principles for the study of digital ecosystems,https://journals.sagepub.com/doi/abs/10.1177/02683962211043222
"Volume 37 Issue 3, September 2022",Improving the governance of information technology: Insights from the history of Internet governance,https://journals.sagepub.com/doi/abs/10.1177/02683962211054513
"Volume 37 Issue 3, September 2022",Statistical significance versus practical importance in information systems research,https://journals.sagepub.com/doi/abs/10.1177/02683962211062236
"Volume 37 Issue 3, September 2022",Reflections on statistical significance and practical importance in information systems research,https://journals.sagepub.com/doi/abs/10.1177/02683962221092042
"Volume 37 Issue 3, September 2022","Conflating relevance with practical significance and other issues: Commentary on Sen, Smith, and Van Note’s “statistical significance versus practical importance in information systems research”",https://journals.sagepub.com/doi/abs/10.1177/02683962221087449
"Volume 37 Issue 3, September 2022",Selecting on statistical significance and practical importance is wrong,https://journals.sagepub.com/doi/abs/10.1177/02683962221086297
"Volume 37 Issue 3, September 2022","Discuss practical importance of results based on interval estimates and p-value functions, not only on point estimates and null p-values",https://journals.sagepub.com/doi/abs/10.1177/02683962221105904
"Volume 37 Issue 3, September 2022",Statistical significance versus practical importance in information systems research: Response to commentary,https://journals.sagepub.com/doi/abs/10.1177/02683962221105907
"Volume 37 Issue 2, June 2022",The anatomy of ‘fake news’: Studying false messages as digital objects,https://journals.sagepub.com/doi/abs/10.1177/02683962211037693
"Volume 37 Issue 2, June 2022",Making sense of continuous development of digital infrastructures,https://journals.sagepub.com/doi/abs/10.1177/02683962211046621
"Volume 37 Issue 2, June 2022","Stakes, positions and logics: An institutional field analysis of cross-border health IT policy",https://journals.sagepub.com/doi/abs/10.1177/02683962211040513
"Volume 37 Issue 2, June 2022",Investigating the determinants of inter-organizational information sharing within criminal justice: A context-mechanism-outcome approach,https://journals.sagepub.com/doi/abs/10.1177/02683962211013826
"Volume 37 Issue 2, June 2022",Artificial intelligence and the conduct of literature reviews,https://journals.sagepub.com/doi/abs/10.1177/02683962211048201
"Volume 37 Issue 1, March 2022",Distributed IT championing: A process theory,https://journals.sagepub.com/doi/abs/10.1177/02683962211019406
"Volume 37 Issue 1, March 2022",Exploring technological instantiation of regulatory practices in entangled financial markets,https://journals.sagepub.com/doi/abs/10.1177/02683962211027308
"Volume 37 Issue 1, March 2022",Workplace cyberbullying: A criminological and routine activity perspective,https://journals.sagepub.com/doi/abs/10.1177/02683962211027888
"Volume 37 Issue 1, March 2022",Behavioral economics in information systems research: Critical analysis and research strategies,https://journals.sagepub.com/doi/abs/10.1177/02683962211016000
"Volume 36 Issue 4, December 2021",Digital infrastructure evolution as generative entrenchment: The formation of a core–periphery structure,https://journals.sagepub.com/doi/abs/10.1177/02683962211013362
"Volume 36 Issue 4, December 2021",Capabilities for value co-creation and value capture in emergent platform ecosystems: A longitudinal case study of SAP’s cloud platform,https://journals.sagepub.com/doi/abs/10.1177/02683962211023780
"Volume 36 Issue 4, December 2021",Algorithmic pollution: Making the invisible visible,https://journals.sagepub.com/doi/abs/10.1177/02683962211010356
"Volume 36 Issue 4, December 2021",Algorithmic audiencing: Why we need to rethink free speech on social media,https://journals.sagepub.com/doi/abs/10.1177/02683962211013358
"Volume 36 Issue 4, December 2021",Metahuman systems = humans + machines that learn,https://journals.sagepub.com/doi/abs/10.1177/0268396220915917
"Volume 36 Issue 3, September 2021",Toward replication study types for design science research,https://journals.sagepub.com/doi/abs/10.1177/02683962211006429
"Volume 36 Issue 3, September 2021",Influencing information systems practice: The action principles approach applied to robotic process and cognitive automation,https://journals.sagepub.com/doi/abs/10.1177/0268396221990778
"Volume 36 Issue 3, September 2021",The contract-type choice for short-term software development outsourcing: The role of behaviour-based formal control,https://journals.sagepub.com/doi/abs/10.1177/0268396220967669
"Volume 36 Issue 3, September 2021",Understanding the global diffusion of B2B E-commerce (B2B EC): An integrated model,https://journals.sagepub.com/doi/abs/10.1177/0268396220961396
"Volume 36 Issue 3, September 2021",The theoretical basis of enterprise architecture: A critical review and taxonomy of relevant theories,https://journals.sagepub.com/doi/abs/10.1177/0268396220977873
"Volume 36 Issue 3, September 2021",Theory building is neither an art nor a science. It is a craft,https://journals.sagepub.com/doi/abs/10.1177/0268396220911938
"Volume 36 Issue 3, September 2021","Theory building from the points of view of a native, an anthropologist, and a philosopher: Commentary on Suzanne Rivard’s “Theory building is neither an art nor a science. It is a craft”",https://journals.sagepub.com/doi/abs/10.1177/0268396220970208
"Volume 36 Issue 3, September 2021",The theorizing trifecta,https://journals.sagepub.com/doi/abs/10.1177/0268396220967671
"Volume 36 Issue 2, June 2021",Towards a sociomaterial approach to inter-organizational boundaries: How information systems elicit relevant knowledge in government outsourcing,https://journals.sagepub.com/doi/abs/10.1177/0268396220934490
"Volume 36 Issue 2, June 2021",Instantiation: Reconceptualising the role of technology as a carrier of organisational strategising,https://journals.sagepub.com/doi/abs/10.1177/0268396220988550
"Volume 36 Issue 2, June 2021",Distributed Internet voting architecture: A thin client approach to Internet voting,https://journals.sagepub.com/doi/abs/10.1177/0268396220978983
"Volume 36 Issue 2, June 2021",Data science in organizations: Conceptualizing its breakthroughs and blind spots,https://journals.sagepub.com/doi/abs/10.1177/0268396220988539
"Volume 36 Issue 2, June 2021",The attack on understanding: How big data and theory have led us astray: A comment on Gary Smith’s Data Mining Fool’s Gold,https://journals.sagepub.com/doi/abs/10.1177/0268396220967677
"Volume 36 Issue 2, June 2021",A comment on Gary Smith’s “Data Mining Fool’s Gold”,https://journals.sagepub.com/doi/abs/10.1177/0268396220977811
"Volume 36 Issue 2, June 2021",Letting living intelligence put the artificial version in its place,https://journals.sagepub.com/doi/abs/10.1177/0268396220980741
"Volume 36 Issue 2, June 2021",Robo-Apocalypse? Response and outlook on the post-COVID-19 future of work,https://journals.sagepub.com/doi/abs/10.1177/0268396220978660
"Volume 36 Issue 1, March 2021",Symbolic practices and power asymmetries in ICT4D projects: The case of an Indian Agricultural Marketing Board,https://journals.sagepub.com/doi/abs/10.1177/0268396220964813
"Volume 36 Issue 1, March 2021",Those who control the code control the rules: How different perspectives of privacy are being written into the code of blockchain systems,https://journals.sagepub.com/doi/abs/10.1177/0268396220944406
"Volume 36 Issue 1, March 2021",A ‘conversation’ between Frank Land [FL] and Antony Bryant [AB] – : Part 2,https://journals.sagepub.com/doi/abs/10.1177/0268396220908275
"Volume 36 Issue 1, March 2021",Demystifying beliefs about the natural sciences in information system,https://journals.sagepub.com/doi/abs/10.1177/0268396220901535
"Volume 36 Issue 1, March 2021",The natural sciences in the information systems research literature: Correcting misinterpretations,https://journals.sagepub.com/doi/abs/10.1177/0268396220945715
"Volume 36 Issue 1, March 2021",The duality of science: Knowledge in information systems research,https://journals.sagepub.com/doi/abs/10.1177/0268396220945714
"Volume 36 Issue 1, March 2021",Human in the loop,https://journals.sagepub.com/doi/abs/10.1177/0268396220946055
"Volume 36 Issue 1, March 2021",Thoughts on Siponen and Klaarvuniemi’s ‘Demystifying Beliefs about the Natural Sciences in IS’: The way forward,https://journals.sagepub.com/doi/abs/10.1177/0268396220945719
"Volume 36 Issue 1, March 2021","Natural sciences, philosophy of science and the orientation of the social sciences",https://journals.sagepub.com/doi/abs/10.1177/0268396220951203
"Volume 36 Issue 1, March 2021",On natural science beliefs in IS: Short comments to commentators,https://journals.sagepub.com/doi/abs/10.1177/0268396220948252
"Volume 35 Issue 4, December 2020",Robo-Apocalypse cancelled? Reframing the automation and future of work debate,https://journals.sagepub.com/doi/abs/10.1177/0268396220925830
"Volume 35 Issue 4, December 2020",Robo-apocalypse cancelled? Commentary,https://journals.sagepub.com/doi/abs/10.1177/0268396220925832
"Volume 35 Issue 4, December 2020",Robo-apocalypse cancelled?,https://journals.sagepub.com/doi/abs/10.1177/0268396220925096
"Volume 35 Issue 4, December 2020",Information systems research on artificial intelligence and work: A commentary on “Robo-Apocalypse cancelled? Reframing the automation and future of work debate”,https://journals.sagepub.com/doi/abs/10.1177/0268396220926511
"Volume 35 Issue 4, December 2020","The robo-apocalypse plays out in the quality, not in the quantity of work",https://journals.sagepub.com/doi/abs/10.1177/0268396220923677
"Volume 35 Issue 4, December 2020",How do offshoring-related changes in job characteristics affect onshore managers’ affective organizational commitment? The moderating role of perceived organizational valence,https://journals.sagepub.com/doi/abs/10.1177/0268396220942237
"Volume 35 Issue 4, December 2020",Is code law? Current legal and technical adoption issues and remedies for blockchain-enabled smart contracts,https://journals.sagepub.com/doi/abs/10.1177/0268396220924669
"Volume 35 Issue 4, December 2020",A ‘conversation’ between Frank Land (FL) and Antony Bryant (AB): PART I,https://journals.sagepub.com/doi/abs/10.1177/0268396220908274
"Volume 35 Issue 3, September 2020",Data mining fool’s gold,https://journals.sagepub.com/doi/abs/10.1177/0268396220915600
"Volume 35 Issue 3, September 2020",Social media in times of crisis: Learning from Hurricane Harvey for the coronavirus disease 2019 pandemic response,https://journals.sagepub.com/doi/abs/10.1177/0268396220929258
"Volume 35 Issue 3, September 2020",Protecting a whale in a sea of phish,https://journals.sagepub.com/doi/abs/10.1177/0268396220918594
"Volume 35 Issue 3, September 2020",Paradox and the negotiation of tensions in globally distributed work,https://journals.sagepub.com/doi/abs/10.1177/0268396220936697
"Volume 35 Issue 3, September 2020",The ownership of digital infrastructure: Exploring the deployment of software libraries in a digital innovation cluster,https://journals.sagepub.com/doi/abs/10.1177/0268396220936705
"Volume 35 Issue 3, September 2020",Theory borrowing in IT-rich contexts: Lessons from IS strategy research,https://journals.sagepub.com/doi/abs/10.1177/0268396220912745
"Volume 35 Issue 2, June 2020",Under pressure: Understanding the dynamics of coordination in IT functions under business-as-usual and emergency conditions,https://journals.sagepub.com/doi/abs/10.1177/0268396219881461
"Volume 35 Issue 2, June 2020",Review and critique of the information systems development project failure literature: An argument for exploring information systems development project distress,https://journals.sagepub.com/doi/abs/10.1177/0268396219832010
"Volume 35 Issue 2, June 2020",Entrepreneurial actions and the legitimation of free/open source software services,https://journals.sagepub.com/doi/abs/10.1177/0268396219886879
"Volume 35 Issue 2, June 2020",A review of methods used on IT maturity models development: A systematic literature review and a critical analysis,https://journals.sagepub.com/doi/abs/10.1177/0268396219886874
"Volume 35 Issue 1, March 2020",How does information technology-based service degradation influence consumers’ use of services? An information technology-based service degradation decision theory,https://journals.sagepub.com/doi/abs/10.1177/0268396219856019
"Volume 35 Issue 1, March 2020",Platforms as service ecosystems: Lessons from social media,https://journals.sagepub.com/doi/abs/10.1177/0268396219881462
"Volume 35 Issue 1, March 2020",How do IT outsourcing vendors develop capabilities? An organizational ambidexterity perspective on a multi-case study,https://journals.sagepub.com/doi/abs/10.1177/0268396219887756
"Volume 35 Issue 1, March 2020",Big-data business models: A critical literature review and multiperspective research framework,https://journals.sagepub.com/doi/abs/10.1177/0268396219896811
"Volume 35 Issue 1, March 2020",WITHDRAWAL – Administrative Duplicate Publication: Robotics process automation at TECHSERV: An implementation case study,https://journals.sagepub.com/doi/abs/10.1177/0268396219890541
"Volume 35 Issue 1, March 2020",WITHDRAWN – Administrative Duplicate Publication: Robotics process automation at TECHSERV: An implementation case study,https://journals.sagepub.com/doi/abs/10.1177/0268396219881455
"Volume 34 Issue 4, December 2019",The dynamics of institutional pressures and stakeholder behavior in national electronic health record implementations: A tale of two countries,https://journals.sagepub.com/doi/abs/10.1177/0268396218822478
"Volume 34 Issue 4, December 2019",The negotiated order and electronic patient records: A sociomaterial perspective,https://journals.sagepub.com/doi/abs/10.1177/0268396219870548
"Volume 34 Issue 4, December 2019",Disruption as worldview change: A Kuhnian analysis of the digital music revolution,https://journals.sagepub.com/doi/abs/10.1177/0268396219835101
"Volume 34 Issue 4, December 2019",Reconceptualizing synergy to explain the value of business analytics systems,https://journals.sagepub.com/doi/abs/10.1177/0268396218816210
"Volume 34 Issue 3, September 2019",The process of information systems theorizing as a discursive practice,https://journals.sagepub.com/doi/abs/10.1177/0268396219832004
"Volume 34 Issue 3, September 2019",The role of discourse in transforming digital infrastructures,https://journals.sagepub.com/doi/abs/10.1177/0268396219831994
"Volume 34 Issue 3, September 2019",No teleworker is an island: The impact of temporal and spatial separation along with media use on knowledge sharing networks,https://journals.sagepub.com/doi/abs/10.1177/0268396218816531
"Volume 34 Issue 3, September 2019",Trusting e-voting amid experiences of electoral malpractice: The case of Indian elections,https://journals.sagepub.com/doi/abs/10.1177/0268396218816199
"Volume 34 Issue 2, June 2019",Enterprise architecture and enterprise architecture artifacts: Questioning the old concept in light of new findings,https://journals.sagepub.com/doi/abs/10.1177/0268396218816273
"Volume 34 Issue 2, June 2019",Information technology outsourcing and architecture dynamic capabilities as enablers of organizational agility,https://journals.sagepub.com/doi/abs/10.1177/0268396218816271
"Volume 34 Issue 2, June 2019",Trends in the conduct of information systems research,https://journals.sagepub.com/doi/abs/10.1177/0268396219834122
"Volume 34 Issue 2, June 2019","Commentary on Varun Grover, Michelle Carter, and Dan Jiang’s “Trends in the conduct of information systems research”",https://journals.sagepub.com/doi/abs/10.1177/0268396219834125
"Volume 34 Issue 2, June 2019",Managing and maintaining academic freedom,https://journals.sagepub.com/doi/abs/10.1177/0268396219834134
"Volume 34 Issue 2, June 2019",Commentary on the “Trends in the conduct of information systems research”,https://journals.sagepub.com/doi/abs/10.1177/0268396219834137
"Volume 34 Issue 2, June 2019","Commentary on Grover, Carter and Jiang: Are their questions problematic?",https://journals.sagepub.com/doi/abs/10.1177/0268396219834138
"Volume 34 Issue 2, June 2019",The curse of “reference” disciplines,https://journals.sagepub.com/doi/abs/10.1177/0268396219834140
"Volume 34 Issue 2, June 2019",Fostering virtuous adaptation to trends in information systems research: A riposte,https://journals.sagepub.com/doi/abs/10.1177/0268396219834141
"Volume 34 Issue 1, March 2019",Bringing compassion into information systems research: A research agenda and call to action,https://journals.sagepub.com/doi/abs/10.1177/0268396218815989
"Volume 34 Issue 1, March 2019",Enterprise social media use and overload: A curvilinear relationship,https://journals.sagepub.com/doi/abs/10.1177/0268396218802728
"Volume 34 Issue 1, March 2019",Uncovering the nature of the relationship between outsourcing motivations and the degree of outsourcing: An empirical study on Finnish small and medium-sized enterprises,https://journals.sagepub.com/doi/abs/10.1177/0268396218816255
"Volume 34 Issue 1, March 2019",Risks inherent in the digital surveillance economy: A research agenda,https://journals.sagepub.com/doi/abs/10.1177/0268396218815559
"Volume 34 Issue 1, March 2019",The resistible rise of the digital surveillance economy: A call for action,https://journals.sagepub.com/doi/abs/10.1177/0268396218815562
"Volume 34 Issue 1, March 2019","No risk, no reward",https://journals.sagepub.com/doi/abs/10.1177/0268396218815565
"Volume 34 Issue 1, March 2019","Alexa, are you watching me? A response to Clarke, “Risks inherent in the digital surveillance economy: A research agenda”",https://journals.sagepub.com/doi/abs/10.1177/0268396218815561
"Volume 34 Issue 1, March 2019","Response to Clarke: Empirical research is useful, also in the age of surveillance risks",https://journals.sagepub.com/doi/abs/10.1177/0268396218815560
"Volume 34 Issue 1, March 2019",Future-oriented research agendas and competing ideologies: Responses to commentaries on ‘The digital surveillance economy’,https://journals.sagepub.com/doi/abs/10.1177/0268396218815564
"Volume 33 Issue 4, December 2018",A Review of Information System Integration in Mergers and Acquisitions,https://journals.sagepub.com/doi/abs/10.1057/s41265-017-0051-9
"Volume 33 Issue 4, December 2018",Dialectic Tensions in the Financial Markets: A Longitudinal Study of pre- and Post-Crisis Regulatory Technology,https://journals.sagepub.com/doi/abs/10.1057/s41265-017-0047-5
"Volume 33 Issue 4, December 2018",Governance Configurations for Inter-Organizational Coordination: A Study of Public Safety Networks,https://journals.sagepub.com/doi/abs/10.1057/s41265-018-0056-z
"Volume 33 Issue 4, December 2018",Mapping the Values of IoT,https://journals.sagepub.com/doi/abs/10.1057/s41265-018-0054-1
"Volume 33 Issue 4, December 2018",Correction to: How and why Organisations use Social Media: Five Use Types and their Relation to Absorptive Capacity,https://journals.sagepub.com/doi/abs/10.1057/s41265-018-0057-y
"Volume 33 Issue 3, September 2018",Social Control in Information Systems Development: A Negotiated Order Perspective,https://journals.sagepub.com/doi/abs/10.1057/s41265-017-0048-4
"Volume 33 Issue 3, September 2018",Digital Innovation and Institutional Entrepreneurship: Chief Digital Officer Perspectives of their Emerging Role,https://journals.sagepub.com/doi/abs/10.1057/s41265-018-0055-0
"Volume 33 Issue 3, September 2018",Exploring the Effect of Familiarity and Advisory Services on Innovation Outcomes in Outsourcing Settings,https://journals.sagepub.com/doi/abs/10.1057/s41265-018-0052-3
"Volume 33 Issue 3, September 2018",Representation and Mediation in Digitalized Work: Evidence from Maintenance of Mining Machinery,https://journals.sagepub.com/doi/abs/10.1057/s41265-017-0050-x
"Volume 33 Issue 3, September 2018",Process is King: Evaluating the Performance of Technology-mediated Learning in Vocational Software Training,https://journals.sagepub.com/doi/abs/10.1057/s41265-017-0046-6
"Volume 33 Issue 2, June 2018",What is Information? Toward a Theory of Information as Objective and Veridical,https://journals.sagepub.com/doi/abs/10.1057/s41265-017-0038-6
"Volume 33 Issue 2, June 2018",Institutional ontology for Conceptual Modeling,https://journals.sagepub.com/doi/abs/10.1057/s41265-018-0053-2
"Volume 33 Issue 2, June 2018",The Digital Platform: A Research Agenda,https://journals.sagepub.com/doi/abs/10.1057/s41265-016-0033-3
"Volume 33 Issue 2, June 2018",Understanding Knowledge Re-integration in Backsourcing,https://journals.sagepub.com/doi/abs/10.1057/s41265-016-0007-5
"Volume 33 Issue 2, June 2018",How do Requirements Evolve over Time? A Case Study Investigating the Role of Context and Experiences in the Evolution of Enterprise Software Requirements,https://journals.sagepub.com/doi/abs/10.1057/s41265-016-0001-y
