,,URL,
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000946,Exploring continued usage of an AI teaching assistant among university students: A temporal distance perspective
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000934,Organizational decision making and analytics: An experimental study on dashboard visualizations
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000983,"Ethical consumerism, supply chains, and deceptions with RFID-based systems"
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624001009,How social learning drives customer engagement in short video commerce: An attitude transfer perspective
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S037872062400096X,Keep scrolling: An investigation of short video users’ continuous watching behavior
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S0378720624000752,Editorial Board
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S037872062400051X,Ethics-based AI auditing: A systematic literature review on conceptualizations of ethical principles and knowledge contributions to stakeholders
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S0378720624000533,The diffusion of malicious content on Twitter and its impact on security
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S0378720624000454,The golden-mean fallacy: A medium-attractiveness face predicts less funding on a crowdfunding platform
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S037872062400065X,How does response to work communication impact employees’ collaborative performance? A view of the social connectivity paradox
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S0378720624000545,The power of prediction with Google searches and social media posts: Retail investor interest and IPO pricing
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S0378720624000478,The SmartSI Compass: A method for generating smart service innovation ideas
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S0378720624000557,Demystifying data governance for process mining: Insights from a Delphi study
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S0378720624000521,How to strategically respond to online hotel reviews: A strategy-aware deep learning approach
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S0378720624000648,An enhanced governance measure for deep synthesis applications: Addressing the moderating effect of moral sensitivity through message framing
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S0378720624000508,Fostering information security compliance as organizational citizenship behavior
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S0378720624000491,Facilitating the comprehension of business process models for unexperienced modelers using token-based animations
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S0378720624000685,Exploring the influence of gamification-enabled customer experience on continuance intention towards digital platforms for e-government: An empirical investigation
"Volume 61, Issue 5",24-Jul,https://www.sciencedirect.com/science/article/pii/S0378720624000703,Firm profiling and competition assessment: A design science approach
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S0378720624000600,Editorial Board
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S0378720624000302,Knowledge sharing leads to engagement during Covid-19 for online gamers
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S0378720624000399,Big gains in digital ecosystem niches: How facilitators emerge and develop into an organizational category
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S0378720624000405,Impact of digital orientation and corporate social responsibility activities on the alliance relationship stability in contract farming
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S0378720624000429,The development of a C2B2C sharing economy platform: A case study of China's Airparking
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S0378720624000430,"Resistance to artificial intelligence in health care: Literature review, conceptual framework, and research agenda"
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S0378720624000417,Ranking hotel products by integrating online ratings from multiple platforms
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S0378720624000387,Beyond a technological tool: How a platform as a meta-organization enables a successful public service project in China
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S0378720624000442,Understanding the nature of information interdependencies and developing control portfolios for modularized information systems development projects
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S037872062400048X,"Digital human resource strategy: Conceptualization, theoretical development, and an empirical examination of its impact on firm performance"
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S0378720622001173,Neurophysiology of sensory imagery: An effort to improve online advertising effectiveness through science laboratory experimentation
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S0378720623000563,Understanding consumers’ continuance intention of social shopping and social media participation: The perspective of friends on social media
"Volume 61, Issue 4",24-Jun,https://www.sciencedirect.com/science/article/pii/S0378720623000678,Investigating the strategic IT alignment process with a dynamic capabilities view: A multiple case study
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000351,Editorial Board
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720623000046,Blockchain innovations: Technological applications and management challenges
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000089,Effect of Designer- versus User-driven Network-monitoring Dashboard Design on User Flow Experience and Performance: The Role of Augmented Virtuality
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000107,Factors influencing seniors’ switching to m-government services: A mixed-methods study through the lens of push-pull-mooring framework
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000119,"How Embeddedness Influences IT-Induced Work–Home Boundary Reduction, Work–Home Conflict, and Job Outcomes"
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S037872062400020X,From comparison to purchasing: Effects of online behavior toward associated co-visited products on consumer purchase
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000090,Study on the quality evaluation of mobile social media health information and the relationship with health information dissemination
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000132,The impacts of live chat on service–product purchase: Evidence from a large online outsourcing platform
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000235,Membership bundles in content platforms: Bundle decision and content distribution
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000120,Idea generation performance in open innovation communities: The role of user interaction
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000247,Variously and freely to use: Exploring routine and innovative use of fitness apps from a self-management perspective
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000259,Online impulsive buying in social commerce: A mixed-methods research
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000260,Emotion or information? Differences and relationships between two types of professional support in online health communities
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000272,Personalized algorithmic pricing decision support tool for health insurance: The case of stratifying gestational diabetes mellitus into two groups
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000296,Spillover effects of interactions on user innovation: Evidence from a firm-hosted open innovation platform
"Volume 61, Issue 3",24-Apr,https://www.sciencedirect.com/science/article/pii/S0378720624000284,Do mobile device icons help or hurt? Evidence from empirical analyses and design via interpretable machine learning
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S037872062400017X,Editorial Board
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S0378720623001283,Using emotions to cast light into the “black-box” of user adaptation and continued use of health information system
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S0378720623001532,Exploring the impacts of a recommendation system on an e-platform based on consumers’ online behavioral data
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S0378720623001556,Biometric m-payment systems: A multi-analytical approach to determining use intention
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S037872062300157X,A collective portfolio selection approach for investment clubs
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S037872062300160X,"I'm not fluent: How linguistic fluency, new media literacy, and personality traits influence fake news engagement behavior on social media"
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S0378720623001520,Disrupting the disruptor: The role of information systems in facilitating second-mover advantage
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S0378720624000016,Does centralization of online content regulation affect political hate speech in a country? A public choice perspective
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S0378720623001581,Towards a theoretical framework for augmented reality marketing: A means-end chain perspective on retailing
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S0378720623001593,Data avatars: A theory-guided design and assessment for multidimensional data visualization
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S0378720624000065,How does artificial intelligence affect the environmental performance of organizations? The role of green innovation and green culture
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S037872062400003X,Understanding how algorithmic injustice leads to making discriminatory decisions: An obedience to authority perspective
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S0378720624000028,Why so skeptical? Investigating the emergence and consequences of consumer skepticism toward web seals
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S0378720624000053,The influence of ERP-vendor contract compliance and transaction-specific investment on vendee trust: A signaling theory perspective
"Volume 61, Issue 2",24-Mar,https://www.sciencedirect.com/science/article/pii/S0378720624000077,Dissemination of health messages in online social network: A study of healthcare providers’ content generation and dissemination on Twitter
"Volume 61, Issue 1",24-Jan,https://www.sciencedirect.com/science/article/pii/S0378720623001647,Editorial Board
"Volume 61, Issue 1",24-Jan,https://www.sciencedirect.com/science/article/pii/S0378720623001301,Impact of online information on the pricing and profits of firms with different levels of brand reputation
"Volume 61, Issue 1",24-Jan,https://www.sciencedirect.com/science/article/pii/S0378720623001362,Determinants and consequences of routine and advanced use of business intelligence (BI) systems by management accountants
"Volume 61, Issue 1",24-Jan,https://www.sciencedirect.com/science/article/pii/S0378720623001295,How the Terminator might affect the car manufacturing industry: Examining the role of pre-announcement bias for AI-based IS adoptions
"Volume 61, Issue 1",24-Jan,https://www.sciencedirect.com/science/article/pii/S0378720623001258,"VISTA: An inclusive insider threat taxonomy, with mitigation strategies"
"Volume 61, Issue 1",24-Jan,https://www.sciencedirect.com/science/article/pii/S0378720623001519,Brokering workarounds in globally distributed work
"Volume 61, Issue 1",24-Jan,https://www.sciencedirect.com/science/article/pii/S0378720623001246,"Balancing the commitment to the common good and the protection of personal privacy: Consumer adoption of sustainable, smart connected cars"
"Volume 61, Issue 1",24-Jan,https://www.sciencedirect.com/science/article/pii/S0378720623001374,Herding dynamics and multidimensional uncertainty in equity crowdfunding: The impacts of information sources
"Volume 61, Issue 1",24-Jan,https://www.sciencedirect.com/science/article/pii/S0378720623001386,Toward museum transformation: From mediation to social media-tion and fostering omni-visit experience
"Volume 61, Issue 1",24-Jan,https://www.sciencedirect.com/science/article/pii/S0378720623001477,Capturing the self-others dichotomy of social media use: Affordances-actualizations-outcomes model
"Volume 61, Issue 1",24-Jan,https://www.sciencedirect.com/science/article/pii/S0378720623001507,Escape or return? Users’ intermittent discontinuance behavior in strong-ties social functions
"Volume 61, Issue 1",24-Jan,https://www.sciencedirect.com/science/article/pii/S0378720623001465,Suspicious trading in nonfungible tokens (NFTs)
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S0378720623001428,Editorial Board
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S037872062300112X,The duality of ICT-mediated overload: Its nature and consequences
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S0378720623001076,Jailbreaking in closed two-sided platforms
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S037872062300109X,Becoming a mother: A role learning perspective on the use of online community resources to facilitate a life-role transition
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S0378720623001222,Unveiling the underlying cognitive processes of creative idea generation using mobile collaboration platforms
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S0378720623001234,Unveiling the paradox of technostress: Impacts of technology-driven stressors on the elderly's avoidance behaviors
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S0378720623001271,"Paths to open government data reuse: A three-dimensional framework of information need, data and government preparation"
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S037872062300126X,Participative leadership and employees’ cyberloafing: A self-concept-based theory perspective
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S0378720623001325,Competing on price and guarantee compensation: Heeding cloud consumer's quality perception
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S0378720623001313,Toward a campus crisis management system amid the pandemic and beyond
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S0378720623001349,Green IT/IS adoption and environmental performance: The synergistic roles of IT–business strategic alignment and environmental motivation
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S0378720623001350,ICT as a collectively enacted artifact? A collective enactment perspective
"Volume 60, Issue 8",23-Dec,https://www.sciencedirect.com/science/article/pii/S0378720623001337,The platform's store-brand supplier selection and quality information provision decisions
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001167,Editorial Board
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623000782,"Healthier together: Social support, self-regulation and goal management for chronic conditions in online health communities"
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623000927,How does e-government use affect citizens’ trust in government? Empirical evidence from China
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623000848,Leveraging synergy to drive digital transformation: A systems-theoretic perspective
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623000897,Behind the scenes: The role of writing guideline design in online charitable crowdfunding market
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623000861,Social media information governance in multi-level organizations: How humanitarian organizations accrue social capital
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623000873,The relative values of big data analytics versus traditional marketing analytics to firm innovation: An empirical study
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001039,The motivation paradox: Understanding contradictory effects of awards on contribution quantity versus quality in virtual community
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623000885,"How to attract low prosocial funders in crowdfunding? Matching among funders, project descriptions, and platform types"
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001027,The effects of social media posts’ characteristics on customer engagement: Evidence from WeChat
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001015,Limited engagement of SMEs with social media: A structuration and sensemaking perspective
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001003,Optimal IP-based content provision model for digital content platforms
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001040,"Blockchain from the information systems perspective: Literature review, synthesis, and directions for future research"
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001052,How to react to a shock? Effects of Airbnb hosts’ choices and market segmentation at the time of Covid-19
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001088,How “What you think you know about cybersecurity” can help users make more secure decisions
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001064,Unraveling the behavioral influence of social media on phishing susceptibility: A Personality-Habit-Information Processing model
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001118,The “holiday effect” in consumer satisfaction: Evidence from review ratings
"Volume 60, Issue 7",23-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001106,What makes a Tweet so sweet: The neurocognitive effects of hedonic information consumption
"Volume 60, Issue 6",23-Sep,https://www.sciencedirect.com/science/article/pii/S0378720623000964,Editorial Board
"Volume 60, Issue 6",23-Sep,https://www.sciencedirect.com/science/article/pii/S0378720623000770,Rating deviation and manipulated reviews on the Internet—A multi-method study
"Volume 60, Issue 6",23-Sep,https://www.sciencedirect.com/science/article/pii/S0378720623000800,Robo-advisors and investment intention: A perspective of value-based adoption
"Volume 60, Issue 6",23-Sep,https://www.sciencedirect.com/science/article/pii/S0378720623000836,Turning digital in times of crisis: A values-based theory of telehealth adoption during the Covid-19 pandemic
"Volume 60, Issue 6",23-Sep,https://www.sciencedirect.com/science/article/pii/S0378720623000794,How does business-IT alignment influence supply chain resilience?
"Volume 60, Issue 6",23-Sep,https://www.sciencedirect.com/science/article/pii/S0378720623000824,Understanding customer satisfaction in curated subscription services: Moderating roles of subscription time and information disclosure
"Volume 60, Issue 6",23-Sep,https://www.sciencedirect.com/science/article/pii/S0378720623000812,Zero is hero: Round number effects on knowledge-sharing platforms
"Volume 60, Issue 6",23-Sep,https://www.sciencedirect.com/science/article/pii/S037872062300085X,Understanding critical risks of business process outsourcing from the vendor perspective: A dyadic comparison Delphi study
"Volume 60, Issue 6",23-Sep,https://www.sciencedirect.com/science/article/pii/S0378720623000915,Employees’ proactiveness on enterprise social media and social consequences: An integrated perspective of social network and social exchange theories
"Volume 60, Issue 6",23-Sep,https://www.sciencedirect.com/science/article/pii/S0378720623000903,How should companies deploy their digital supply chain platforms to gain competitive advantages? An asset orchestration perspective
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S037872062300071X,Editorial Board
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000460,Factors influencing health care professionals’ adoption of mobile platform of medical and senior care in China
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000381,The role of rating feedback and its implications for solver submission behavior in crowdsourcing contests
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000459,Bystander pro-celebrity cyberbullying: An integrated perspective of susceptibility to retaliation and social capital gains
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000423,Emotion-regulatory chatbots for enhancing consumer servicing: An interpersonal emotion management approach
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000435,How do consumers perceive and process online overall vs. individual text-based reviews? Behavioral and eye-tracking evidence
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000484,The impact of IT–business strategic alignment on firm performance: The evolving role of IT in industries
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000587,Design shopping as an experience: Exploring the effect of the live-streaming shopping characteristics on consumers’ participation intention and memorable experience
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000411,Factors for Fractional CIO engagement success
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000599,Segmentation preference and technostress: Integrators’ vs segmenters’ experience of technology-induced demands and related spill-over effects
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000447,Examining the impacts of fitness app features on user well-being
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000642,The implementation of artificial intelligence in organizations: A systematic literature review
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000654,Value co-creation for digital innovation: An interorganizational boundary-spanning perspective
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000666,Unlocking the shopping myth: Can smartphone dependency relieve shopping anxiety? – A mixed-methods approach in UK Omnichannel retail
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000630,Price-aware matrix factorization model for personalized recommendations
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S037872062300040X,Barriers to continuance use of cloud computing: Evidence from two case studies
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000575,Capabilities and metrics in DevOps: A design science study
"Volume 60, Issue 5",23-Jul,https://www.sciencedirect.com/science/article/pii/S0378720623000605,Effect of blockchain-based donation system on trustworthiness of NPOs
