Title,Year,Issue,ArticleURL,Abstract,Author_Name,Author_University
An Organizational Routines Theory of Employee Well-Being: Explaining the Love-Hate Relationship Between Electronic Health Records and Clinicians,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/9,No Abstract,Dursun Delen,Oklahoma State University / Istinye University
Human Behavior Mining: A Framework for Theorizing About mHealth Behavior Using Digital Trace Data,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/8,No Abstract,Monica Fallon,University of Mannheim
Human Behavior Mining: A Framework for Theorizing About mHealth Behavior Using Digital Trace Data,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/8,No Abstract,Jana-Rebecca Rehse,University of Mannheim
Human Behavior Mining: A Framework for Theorizing About mHealth Behavior Using Digital Trace Data,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/8,No Abstract,Armin Heinzl,University of Mannheim
Boosting or Undermining? Unveiling the Two-Sided Effect of Updates in Medical Crowdfunding Campaigns,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/7,No Abstract,Chenzhang Bao,Oklahoma State University
Boosting or Undermining? Unveiling the Two-Sided Effect of Updates in Medical Crowdfunding Campaigns,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/7,No Abstract,Min Kyung Lee,Baylor University
Boosting or Undermining? Unveiling the Two-Sided Effect of Updates in Medical Crowdfunding Campaigns,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/7,No Abstract,Wen Zhang,Baylor University
"Does Workforce Diversity, Equity, and Inclusion Prevent Patient Safety Incidents? A Double Machine Learning Approach",2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/6,No Abstract,Yichuan Wang,University of Sheffield
"Does Workforce Diversity, Equity, and Inclusion Prevent Patient Safety Incidents? A Double Machine Learning Approach",2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/6,No Abstract,Jiao Ji,University of Sheffield
"Does Workforce Diversity, Equity, and Inclusion Prevent Patient Safety Incidents? A Double Machine Learning Approach",2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/6,No Abstract,Minhao Zhang,University of Bristol
"Does Workforce Diversity, Equity, and Inclusion Prevent Patient Safety Incidents? A Double Machine Learning Approach",2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/6,No Abstract,Xiaojun Wang,University of Birmingham
What Is Augmented? A Metanarrative Review of AI-Based Augmentation,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/5,No Abstract,Inès Baer,Vrije Universiteit Amsterdam
What Is Augmented? A Metanarrative Review of AI-Based Augmentation,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/5,No Abstract,Lauren Waardenburg,ESSEC Business School
What Is Augmented? A Metanarrative Review of AI-Based Augmentation,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/5,No Abstract,Marleen Huysman,Vrije Universiteit Amsterdam
Enhancing Customer Service Chatbot Effectiveness: The Effect of Dyadic Communication Traits on Customer Purchase Intention,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/4,No Abstract,Ran Tan,University of Science and Technology of China
Enhancing Customer Service Chatbot Effectiveness: The Effect of Dyadic Communication Traits on Customer Purchase Intention,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/4,No Abstract,Yang Li,Hefei University of Technology
Enhancing Customer Service Chatbot Effectiveness: The Effect of Dyadic Communication Traits on Customer Purchase Intention,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/4,No Abstract,Qian Huang,University of Science and Technology of China
Enhancing Customer Service Chatbot Effectiveness: The Effect of Dyadic Communication Traits on Customer Purchase Intention,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/4,No Abstract,Hefu Liu,University of Science and Technology of China
Computationally Intensive Research: Advancing a Role for Secondary Analysis of Qualitative Data,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/3,No Abstract,Kaveh Mohajeri,IESEG School of Management
Computationally Intensive Research: Advancing a Role for Secondary Analysis of Qualitative Data,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/3,No Abstract,Amir Karami,University of Alabama at Birmingham
Polarization or Bias: Take Your Click on Social Media,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/2,No Abstract,Debabrata Dey,University of Kansas
Polarization or Bias: Take Your Click on Social Media,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/2,No Abstract,Atanu Lahiri,University of Texas at Dallas
Polarization or Bias: Take Your Click on Social Media,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/2,No Abstract,Rajiv Mukherjee,Texas A&M University
Achieving Reward-Based Crowdfunding Project Success: An Examination of Value Congruence,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/1,No Abstract,Bright Frimpong,Washington and Lee University
Achieving Reward-Based Crowdfunding Project Success: An Examination of Value Congruence,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/1,No Abstract,Emmanuel Ayaburi,Baylor University
Achieving Reward-Based Crowdfunding Project Success: An Examination of Value Congruence,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/1,No Abstract,Francis Kofi Andoh-Baidoo,University of Texas Rio Grande Valley
"Journal of the Association for Information Systems, 25 Years In: Letting a Thousand Flowers Bloom and Keeping the Fences",2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/10,No Abstract,Monideepa Tarafdar,University of Massachusetts Amherst
"Journal of the Association for Information Systems, 25 Years In: Letting a Thousand Flowers Bloom and Keeping the Fences",2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/10,No Abstract,Hui Hao,University of Memphis
"Journal of the Association for Information Systems, 25 Years In: Letting a Thousand Flowers Bloom and Keeping the Fences",2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/10,No Abstract,Guohou Shan,Northeastern University
Corporate Nomads: Working at the Boundary Between Corporate Work and Digital Nomadism,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/9,No Abstract,Julian Marx,The University of Melbourne
Corporate Nomads: Working at the Boundary Between Corporate Work and Digital Nomadism,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/9,No Abstract,Milad Mirbabaie,University of Bamberg
Corporate Nomads: Working at the Boundary Between Corporate Work and Digital Nomadism,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/9,No Abstract,Stefan Stieglitz,University of Potsdam
Persuading Chronically Ill Patients to Subscribe to Medical Services in Physician-Driven Online Health Communities,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/8,No Abstract,Yan Li,Central University of Finance and Economics
Persuading Chronically Ill Patients to Subscribe to Medical Services in Physician-Driven Online Health Communities,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/8,No Abstract,Haiyun (Melody) Zou,University of Warwick
Persuading Chronically Ill Patients to Subscribe to Medical Services in Physician-Driven Online Health Communities,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/8,No Abstract,Juhee Kwon,City University of Hong Kong
Persuading Chronically Ill Patients to Subscribe to Medical Services in Physician-Driven Online Health Communities,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/8,No Abstract,Yulin Fang,University of Hong Kong
Data Control Coordination in the Formation of Ecosystems in Highly Regulated Sectors,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/7,No Abstract,Paolo Spagnoletti,Luiss University / University of Agder
Data Control Coordination in the Formation of Ecosystems in Highly Regulated Sectors,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/7,No Abstract,Niloofar Kazemargi,D'Annunzio University
Data Control Coordination in the Formation of Ecosystems in Highly Regulated Sectors,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/7,No Abstract,Panos Constantinides,University of Manchester
Data Control Coordination in the Formation of Ecosystems in Highly Regulated Sectors,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/7,No Abstract,Andrea Prencipe,Luiss University
Capturing the “Social” in Social Networks: The Conceptualization and Empirical Application of Relational Quality,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/6,No Abstract,Christian Meske,Ruhr University Bochum
Capturing the “Social” in Social Networks: The Conceptualization and Empirical Application of Relational Quality,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/6,No Abstract,Iris Junglas,College of Charleston
Capturing the “Social” in Social Networks: The Conceptualization and Empirical Application of Relational Quality,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/6,No Abstract,Matthias Trier,Paderborn University
Capturing the “Social” in Social Networks: The Conceptualization and Empirical Application of Relational Quality,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/6,No Abstract,Johannes Schneider,University of Liechtenstein
Capturing the “Social” in Social Networks: The Conceptualization and Empirical Application of Relational Quality,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/6,No Abstract,Roope Jaakonmäki,Hilti Group
Capturing the “Social” in Social Networks: The Conceptualization and Empirical Application of Relational Quality,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/6,No Abstract,Jan vom Brocke,University of Muenster / University of Liechtenstein
Why Do We Follow Virtual Influencer Recommendations? Three Theoretical Explanations from Brain Data Tested with Self-Reports,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/5,No Abstract,Anika Nissen,University of Hagen
Why Do We Follow Virtual Influencer Recommendations? Three Theoretical Explanations from Brain Data Tested with Self-Reports,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/5,No Abstract,Colin Conrad,Dalhousie University
Why Do We Follow Virtual Influencer Recommendations? Three Theoretical Explanations from Brain Data Tested with Self-Reports,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/5,No Abstract,Isabella Seeber,Grenoble Ecole de Management
Why Do We Follow Virtual Influencer Recommendations? Three Theoretical Explanations from Brain Data Tested with Self-Reports,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/5,No Abstract,Aaron J. Newman,Dalhousie University
How Sentiment Divergence in Influencers’ Multimodal Social Media Posts Shapes Follower Engagement?,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/4,No Abstract,Reza Alibakhshi,IE University
How Sentiment Divergence in Influencers’ Multimodal Social Media Posts Shapes Follower Engagement?,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/4,No Abstract,Shirish C. Srivastava,HEC Paris
Examining Solver Performance in Crowdsourcing Contests: Does Ambidexterity Matter?,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/3,No Abstract,Hua (Jonathan) Ye,University of Oklahoma
Examining Solver Performance in Crowdsourcing Contests: Does Ambidexterity Matter?,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/3,No Abstract,Atreyi Kankanhalli,National University of Singapore
Examining Solver Performance in Crowdsourcing Contests: Does Ambidexterity Matter?,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/3,No Abstract,Bernard C. Y. Tan,National University of Singapore
"Virtual Reality, Mental Models, and Mindful Decision-Making",2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/2,No Abstract,Heshan Sun,University of Oklahoma
"Virtual Reality, Mental Models, and Mindful Decision-Making",2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/2,No Abstract,Siyuan Li,William & Mary
"Virtual Reality, Mental Models, and Mindful Decision-Making",2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/2,No Abstract,"Shih-Lun ""Allen"" Tseng",Cleveland State University
"Virtual Reality, Mental Models, and Mindful Decision-Making",2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/2,No Abstract,Mary A. Peterson,University of Arizona
Empowering Marginalized Communities: A Framework for Social Inclusion,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/1,No Abstract,Israr Qureshi,"Australian National University, Australia / Queen’s University Belfast"
Empowering Marginalized Communities: A Framework for Social Inclusion,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/1,No Abstract,Babita Bhatt,"Australian National University, Australia / Queen’s University Belfast"
Empowering Marginalized Communities: A Framework for Social Inclusion,2025,Issue 4,https://aisel.aisnet.org/jais/vol26/iss4/1,No Abstract,Shena Shaikh,Indian Institute of Technology
Digital Responsibility: Current Perspectives and Future Directions,2025,Issue 5,https://aisel.aisnet.org/jais/vol26/iss5/10,No Abstract,Jan Recker,University of Hamburg
Digital Responsibility: Current Perspectives and Future Directions,2025,Issue 5,https://aisel.aisnet.org/jais/vol26/iss5/10,No Abstract,Sutirtha Chatterjee,"University of Nevada, Las Vegas"
Digital Responsibility: Current Perspectives and Future Directions,2025,Issue 5,https://aisel.aisnet.org/jais/vol26/iss5/10,No Abstract,Janina Sundermeier,Freie Universität Berlin
Digital Responsibility: Current Perspectives and Future Directions,2025,Issue 5,https://aisel.aisnet.org/jais/vol26/iss5/10,No Abstract,Monideepa Tarafdar,University of Massachusetts Amherst
An Empirical Investigation of Cloud Computing and Environmental Performance of Nations: Implications for Shared Responsibility in Cloud Computing,2025,Issue 5,https://aisel.aisnet.org/jais/vol26/iss5/9,No Abstract,Jooho Kim,"Baruch College, City University of New York"
An Empirical Investigation of Cloud Computing and Environmental Performance of Nations: Implications for Shared Responsibility in Cloud Computing,2025,Issue 5,https://aisel.aisnet.org/jais/vol26/iss5/9,No Abstract,Jiyong Park,University of Georgia
An Empirical Investigation of Cloud Computing and Environmental Performance of Nations: Implications for Shared Responsibility in Cloud Computing,2025,Issue 5,https://aisel.aisnet.org/jais/vol26/iss5/9,No Abstract,Jason Dedrick,Syracuse University
The Effects of IP Address Revelation on Location-Based Name-Calling and User Engagement: Evidence From a Chinese Online Platform,2025,Issue 5,https://aisel.aisnet.org/jais/vol26/iss5/8,No Abstract,Yuxin Zhang,Wayne State University
The Effects of IP Address Revelation on Location-Based Name-Calling and User Engagement: Evidence From a Chinese Online Platform,2025,Issue 5,https://aisel.aisnet.org/jais/vol26/iss5/8,No Abstract,Dafeng Xu,University of Washington
Navigating Value Conflicts: How Developers at Varied Levels of Moral Development Approach Decision-Making in Information Systems Development,2025,Issue 5,https://aisel.aisnet.org/jais/vol26/iss5/7,No Abstract,Khalid Durani,University of Innsbruck
Navigating Value Conflicts: How Developers at Varied Levels of Moral Development Approach Decision-Making in Information Systems Development,2025,Issue 5,https://aisel.aisnet.org/jais/vol26/iss5/7,No Abstract,Andreas Eckhardt,University of Innsbruck
Navigating Value Conflicts: How Developers at Varied Levels of Moral Development Approach Decision-Making in Information Systems Development,2025,Issue 5,https://aisel.aisnet.org/jais/vol26/iss5/7,No Abstract,Tim Kollmer,University of Innsbruck
